,username,repo_name,stars,repo_url
0,flutter,flutter,https://github.com/flutter/flutter,160000
1,facebook,react-native,https://github.com/facebook/react-native,114000
2,justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,108000
3,Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,97900
4,Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,74400
5,Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,50200
6,google,material-design-icons,https://github.com/google/material-design-icons,49400
7,wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,48500
8,square,okhttp,https://github.com/square/okhttp,45000
9,android,architecture-samples,https://github.com/android/architecture-samples,43600
10,square,retrofit,https://github.com/square/retrofit,42400
11,laurent22,joplin,https://github.com/laurent22/joplin,40700
12,appwrite,appwrite,https://github.com/appwrite/appwrite,39300
13,dcloudio,uni-app,https://github.com/dcloudio/uni-app,39100
14,fastlane,fastlane,https://github.com/fastlane/fastlane,38400
15,skylot,jadx,https://github.com/skylot/jadx,38100
16,PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,37100
17,airbnb,lottie-android,https://github.com/airbnb/lottie-android,34500
18,shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,34500
19,bumptech,glide,https://github.com/bumptech/glide,34200
